Date,Close,High,Low,Open,Volume,returns,log_returns,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,ATR,Volume_SMA,Volume_Ratio,Price_Position,Volatility
2008-05-27,129.15155029296875,134.8494213153982,125.35298535682655,125.35298535682655,99995592,-0.8609338771497221,-1.9728057550038698,768.7951538085938,848.7506042480469,888.7283294677734,805.6976693960332,869.4797951027184,-63.78212570668518,-12.75642514133613,-51.02570056534905,0.0,888.7283294677734,1246.2999741762387,531.1566847593082,0.804681549698324,57.38236209504821,5113304.6,19.555962302734713,0.3999990047543639,0.19251066734392316
2008-05-28,130.10118103027344,132.9501042439324,110.15865948913056,132.9501042439324,24805345,0.007352840404552197,0.00732594005571096,609.0741790771484,768.8901168823243,848.7980857849121,701.7597481089932,814.7110088751298,-112.95126076613656,-32.79539226629622,-80.15586849984034,0.11862908580083342,848.7980857849121,1340.7012597924804,356.8949117773438,1.1590581605817099,59.0103224346769,6353571.85,3.904157470100854,0.8750003234521261,0.19260419951855995
2008-05-29,132.00047302246094,132.00047302246094,126.30261436086826,127.25225550294923,13192165,0.01459857610166937,0.01449304274090221,449.7330627441406,689.2195587158203,808.9628067016602,614.1044750187575,764.1398580712283,-150.03538305247082,-56.243390423531146,-93.79199262893968,0.35504867416922536,808.9628067016602,1393.8655021303723,224.060111272948,1.4460558398562326,59.41731233907637,7013180.1,1.8810532186390023,0.9999999982449548,0.1928020180401719
2008-05-30,132.00047302246094,132.9501141645419,131.05083188037997,131.05083188037997,12743937,0.0,0.0,290.39194641113284,609.5490005493164,769.1275276184082,539.9346285577888,717.3147184379862,-177.3800898801975,-80.47073031486443,-96.90935956533306,0.35504867416922536,769.1275276184082,1424.0249629644322,114.23009227238413,1.7029618933908246,59.55297535937364,7650376.95,1.665792036561022,0.4999999973674266,0.1928020180401719
2008-06-02,121.55439758300781,129.15153857511555,121.55439758300781,129.15153857511555,1578985,-0.07913665156090499,-0.08244362676549576,128.96161499023438,528.8338348388672,728.7699447631836,475.5684391770532,673.1843243005803,-197.6158851235271,-103.89976127659696,-93.71612384693015,0.35048587967483513,728.7699447631836,1439.3725880355983,18.167301490768864,1.9501425611159846,60.299123605048855,7729326.2,0.2042849478910594,0.0,0.1927078232810634
2008-06-03,121.55439758300781,129.15153857511555,121.55439758300781,129.15153857511555,5093500,0.0,0.0,127.44218444824219,448.118669128418,688.4123619079589,421.10474047027697,632.3228482474268,-211.21810777714984,-125.36343057670756,-85.85467720044228,0.35048587967483513,688.4123619079589,1441.6094964833292,-64.78477266741129,2.188215018358642,60.841776533056546,7984001.2,0.6379633309674352,0.0,0.1927078232810634
2008-06-04,122.50405883789062,122.50405883789061,113.9572634859862,113.9572634859862,20374,0.007812644163978533,0.0077822834884730295,125.92276000976562,367.498469543457,648.1022621154785,375.1661740652944,594.55849347635,-219.3923194110556,-144.1692083435772,-75.22311106747841,0.46677167454338075,648.1022621154785,1432.786738103392,-136.5822138724351,2.4214835276970503,61.45226191533543,7985019.9,0.002551527767639001,0.9999999988299724,0.1928136647881299
2008-06-05,123.45368194580078,123.4536819458008,119.65510548159207,123.4536819458008,9127552,0.007751768528476255,0.007721877941384144,124.2134017944336,286.9732322692871,607.8396434783936,336.44117527768,559.6618407703834,-223.2206654927034,-159.97949977340247,-63.24116571930094,0.5827817320475361,607.8396434783936,1414.2367348534185,-198.5574478966314,2.653321809549559,61.72358880563604,8441397.5,1.0812844674119422,0.9999999973674312,0.19291773692351666
2008-06-06,123.45368194580078,124.40332310957616,121.55439961825003,123.4536819458008,4125735,0.0,0.0,122.50404357910156,206.4479949951172,567.5770248413086,303.673868611237,527.3501253018958,-223.67625669065876,-172.71885115685373,-50.95740553380503,0.5827817320475361,567.5770248413086,1386.8276727338057,-251.67362305118866,2.8868351326291095,61.92708334073075,8647684.25,0.4770913091559743,0.6666666643265998,0.19291773692351666
2008-06-09,121.55439758300781,121.55439758300781,121.55439758300781,121.55439758300781,1018700,-0.015384590664754727,-0.015504161429857088,122.50404357910156,125.73282928466797,527.219441986084,275.6554884530479,497.291182507904,-221.63569405485612,-182.50221973645424,-39.13347431840188,0.5814263523319454,527.219441986084,1351.0759103608193,-296.6370263886513,3.125288647441348,62.06274650950167,8698619.25,0.1171105402733888,0.0,0.19275893303924088
