Date,Close,High,Low,Open,Volume,returns,log_returns,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,ATR,Volume_SMA,Volume_Ratio,Price_Position,Volatility
2005-11-17,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,1337,-0.9966363622578425,-5.694732229305766,31886.0626373291,35855.07624053955,37839.583042144775,33693.17772520579,36632.28141354408,-2939.1036883382912,-588.1935496207716,-2350.9101387175197,0.0,37839.583042144775,55589.55148294466,20089.614601344892,0.9381693461595715,2835.0097165788925,66.85,20.0,0.0,0.22285466548566416
2005-11-18,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,23948.035430908203,31886.0626373291,35855.07624053955,28512.532916642944,33715.65577887267,-5203.122862229728,-1511.6476590049801,-3691.4752032247475,0.0,35855.07624053955,60287.808456692044,11422.344024387054,1.3628604246852845,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
2005-11-21,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,16010.008224487305,27917.049034118652,33870.569438934326,24133.948547988875,31047.67461378758,-6913.726065798706,-2592.501786886595,-4321.224278912112,0.0,33870.569438934326,62951.33751150203,4789.801366366624,1.7171703076913298,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
2005-11-22,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,8071.981018066406,23948.035430908203,31886.0626373291,20432.593997170246,28604.784404192935,-8172.190407022688,-3708.801770970097,-4463.388636052591,0.0,31886.0626373291,64463.03892553243,-690.9136508742304,2.0433364042925373,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
2005-11-23,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,133.9538116455078,19979.021827697754,29901.555835723877,17303.25368613902,26366.017480049275,-9062.763793910253,-4779.87224135006,-4282.891552560193,0.0,29901.555835723877,65167.167140808095,-5364.055469360341,2.3587810279056995,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
2005-11-24,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,133.9538116455078,16010.008224487305,27917.049034118652,14657.191937901931,24312.655670348588,-9655.463732446657,-5755.193105787799,-3900.2706266588575,0.0,27917.049034118652,65238.66397248698,-9404.565904249677,2.6737507171876187,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
2005-11-25,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,133.9538116455078,12040.994621276855,25932.542232513428,12419.533876329617,22427.945344530086,-10008.41146820047,-6605.978139180931,-3402.433329019538,0.0,25932.542232513428,64778.11066369776,-12913.026198670901,2.9958935828883715,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
2005-11-28,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,133.9538116455078,8071.981018066406,23948.035430908203,10527.07326100749,20696.854853381585,-10169.781592374095,-7318.833584561058,-2850.9480078130364,0.0,23948.035430908203,63846.52006533064,-15950.449203514232,3.3320883251181432,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
2005-11-29,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,133.9538116455078,4102.967414855957,21963.52862930298,8926.434674060125,19105.867137869343,-10179.432463809218,-7891.014205090647,-2288.4182587185715,0.0,21963.52862930298,62480.631311406185,-18553.574052800228,3.6894893681197196,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
2005-11-30,133.9538116455078,133.9538116455078,133.9538116455078,133.9538116455078,0,0.0,0.0,133.9538116455078,133.9538116455078,19979.021827697754,7572.530636254654,17642.801653372982,-10070.271017118328,-8326.902648784016,-1743.3683683343115,0.0,19979.021827697754,60700.242187951924,-20742.198532556416,4.076397804801498,2835.0097165788925,66.85,0.0,0.0,0.22285466548566416
