Day,Forecast,Signal,Confidence
1378,5195.663506705449,hold,50
1379,5207.660997031091,hold,50
1380,5193.322088479933,hold,50
1381,5189.144462979436,hold,50
1382,5204.991236502417,hold,50
1383,5127.287641204864,hold,50
1384,5110.302275764383,hold,50
1385,5069.501188436854,hold,50
1386,5020.912801626349,hold,50
1387,4976.924493470721,hold,50
1388,4913.535905555761,hold,50
1389,4899.720133831562,hold,50
1390,4886.4457235753525,hold,50
1391,4850.733195035242,hold,50
1392,4841.292233452198,hold,50
1393,4810.633009475871,hold,50
1394,4788.310513094901,hold,50
1395,4792.211183804654,hold,50
1396,4760.278027543831,hold,50
1397,4765.757967966494,hold,50
1398,4762.153671746943,hold,50
1399,4776.422968144656,hold,50
1400,4808.216601333983,hold,50
1401,4836.650028987726,hold,50
1402,4869.102139371009,hold,50
1403,4908.078372478626,hold,50
1404,4900.038915667294,hold,50
1405,4921.145440097536,hold,50
1406,4920.5936218683,hold,50
1407,4937.825766874211,hold,50
