Date,"('Close', 'KIJA.JK')","('High', 'KIJA.JK')","('Low', 'KIJA.JK')","('Open', 'KIJA.JK')","('Volume', 'KIJA.JK')",SMA_14,SMA_50,SMA_200,EMA_9,EMA_21,EMA_55,RSI,MACD,Signal_Line,MACD_Histogram,ADX,Volume_Ratio,Momentum,ROC
2020-07-02,143.0,145.0,140.0,144.0,875600,143.45454545454547,143.45454545454547,143.45454545454547,143.3433385984,144.52323765823982,145.79311465659615,40.0,-1.160549470820058,-0.9538561310585039,-0.20669333976155424,34.74183270146003,0.5709780301862633,-0.027210884353741527,-2.7210884353741527
2020-07-03,144.0,146.0,141.0,144.0,3569400,143.5,143.5,143.5,143.47467087872002,144.47567059839983,145.729074847432,42.857142857142854,-1.0495461415344494,-0.972994133153693,-0.07655200838075638,34.74183270146003,2.0957432234073785,-0.013698630136986356,-1.3698630136986356
2020-07-06,144.0,144.0,140.0,144.0,596500,143.53846153846155,143.53846153846155,143.53846153846155,143.57973670297602,144.4324278167271,145.66732217430942,42.857142857142854,-0.9506170813644133,-0.9685187227958371,0.01790164143142381,34.74183270146003,0.36865625519979084,0.0,0.0
2020-07-07,142.0,144.0,141.0,143.0,278800,143.42857142857142,143.42857142857142,143.42857142857142,143.26378936238083,144.21129801520647,145.5363463823698,39.130434782608695,-1.0218194748908616,-0.979178873214842,-0.042640601676019574,34.74183270146003,0.18313447471766456,-0.006993006993006978,-0.6993006993006978
2020-07-08,141.0,143.0,140.0,142.0,669900,143.0,143.26666666666668,143.26666666666668,142.81103148990468,143.91936183200588,145.37433401157088,37.5,-1.1457322393359561,-1.0124895464390649,-0.13324269289689128,34.74183270146003,0.4570990574620619,-0.02083333333333337,-2.083333333333337
2020-07-09,141.0,143.0,141.0,142.0,3607700,142.64285714285714,143.125,143.125,142.44882519192373,143.65396530182352,145.21810779687192,39.130434782608695,-1.2297581118859569,-1.0559432595284433,-0.1738148523575136,34.74183270146003,2.2556143003958438,0.0,0.0
2020-07-10,145.0,148.0,140.0,141.0,3752300,142.71428571428572,143.23529411764707,143.23529411764707,142.95906015353899,143.77633209256683,145.21031823269792,52.0,-0.9624876916685992,-1.0372521459564745,0.07476445428787537,34.74183270146003,2.1738971891272936,0.013986013986013957,1.3986013986013957
2020-07-13,146.0,150.0,143.0,150.0,4176700,142.92857142857142,143.38888888888889,143.38888888888889,143.5672481228312,143.9784837205153,145.23852115295873,55.99999999999999,-0.6623471893140334,-0.9622711546279863,0.29992396531395293,34.74183270146003,2.242864686350496,0.050359712230215736,5.035971223021574
2020-07-14,146.0,147.0,143.0,147.0,240100,143.07142857142858,143.52631578947367,143.52631578947367,144.05379849826494,144.1622579277412,145.26571682606735,54.166666666666664,-0.4196462579614604,-0.8537461752946811,0.43409991733322073,34.74183270146003,0.13512736966824643,0.01388888888888884,1.388888888888884
2020-07-15,146.0,148.0,144.0,147.0,969100,143.42857142857142,143.65,143.65,144.44303879861195,144.32932538885564,145.29194122513638,61.904761904761905,-0.22471366208165477,-0.7279396726520759,0.5032260105704212,34.74183270146003,0.5580910533241575,0.01388888888888884,1.388888888888884
