Date,"('Close', 'BMRI.JK')","('High', 'BMRI.JK')","('Low', 'BMRI.JK')","('Open', 'BMRI.JK')","('Volume', 'BMRI.JK')",SMA_14,SMA_50,SMA_200,EMA_9,EMA_21,EMA_55,RSI,MACD,Signal_Line,MACD_Histogram,ADX,Volume_Ratio,Momentum,ROC
2020-06-16,1907.1859130859375,1916.6744002157182,1829.380318621735,1829.380318621735,146116600,1856.9832097833807,1856.9832097833807,1856.9832097833807,1851.4776543996381,1822.5887950129104,1788.0665434589196,59.31033075400651,29.533217170881017,26.068139057107924,3.4650781137730924,19.34500930091602,0.6278919065720481,0.08766226781998632,8.766226781998633
2020-06-17,1859.7435302734375,1973.6053790656888,1855.9481353136957,1935.6514294682718,213944600,1857.2132364908855,1857.2132364908855,1857.2132364908855,1853.1308295743981,1825.9664982184127,1790.6264358451524,56.086948982651144,28.635667105352013,26.58164466675674,2.054022438595272,19.34500930091602,0.925581966148096,0.008230485900309725,0.8230485900309725
2020-06-18,1829.38037109375,1886.3112955053812,1814.1987912506484,1836.9711610153008,152175200,1855.072246844952,1855.072246844952,1855.072246844952,1848.3807378782687,1826.2768502979889,1792.0105049611739,54.20167459675986,25.18399361967363,26.30211445734012,-1.118120837666492,19.34500930091602,0.6761198055618327,0.01902756177287035,1.902756177287035
2020-06-19,1852.15283203125,1878.7205980644853,1829.38046114562,1852.15283203125,126356800,1854.8637172154017,1854.8637172154017,1854.8637172154017,1849.135156708865,1828.6292122737398,1794.1584452136767,55.32786663754446,24.009300523405273,25.843551670553154,-1.8342511471478815,19.34500930091602,0.5795643420383763,0.006185725072313186,0.6185725072313186
2020-06-22,1825.5848388671875,1863.538785621183,1821.7894441917879,1852.1526015949844,66825000,1860.0145961216517,1852.9117919921875,1852.9117919921875,1844.4250931405295,1828.3524510549623,1795.2808164155879,53.78484656976336,20.69596259702007,24.81403385584654,-4.118071258826468,19.34500930091602,0.3213657719091225,-0.08380955636609755,-8.380955636609755
2020-06-23,1817.9942626953125,1840.7666334180094,1780.0403114908174,1840.7666334180094,95010400,1858.116908482143,1850.7294464111328,1850.7294464111328,1839.1389270514862,1827.4107975677216,1796.092010925578,48.47162504287192,17.258675095719582,23.30296210382115,-6.04428700810157,19.34500930091602,0.4729650711837188,-0.09194318188331096,-9.194318188331096
2020-06-24,1954.62841796875,1973.6053929004856,1855.948148323726,1855.948148323726,278417000,1869.5031040736608,1856.8411506204045,1856.8411506204045,1862.2368252349393,1838.976035785997,1801.7540254628343,58.333335460497416,25.268554253599177,23.696080533776758,1.572473719822419,19.34500930091602,1.3552008958073112,0.04887983586651501,4.887983586651501
2020-06-25,1907.1859130859375,1973.605322994403,1874.9250568446828,1926.162887345499,146123000,1874.247358049665,1859.6380818684895,1859.6380818684895,1871.2266428051391,1845.1769337223552,1805.5194500208022,53.465351200943104,27.47155258603152,24.451174944227713,3.020377641803808,19.34500930091602,0.7228524084609395,0.07142858612370295,7.142858612370295
2020-06-26,1897.697509765625,1954.6284350585938,1890.1067197265627,1945.1399475097658,85829000,1867.4698747907366,1861.6412096525494,1861.6412096525494,1876.5208161972364,1849.9515315444708,1808.8115235831172,44.18605729631499,28.127572637615685,25.186454482905308,2.9411181547103773,19.34500930091602,0.43784559105131426,0.02249491200529974,2.249491200529974
2020-06-29,1874.9251708984375,1897.6975413951795,1848.357405318905,1890.106751229599,99123000,1858.3880266462054,1862.3054077148438,1862.3054077148438,1876.2016871374767,1852.2218623948315,1811.17272527295,42.334089979402606,26.504409490475837,25.450045484419416,1.0543640060564208,19.34500930091602,0.5184783664492301,0.04661022059757958,4.661022059757958
