Day,Forecast,Signal,Confidence
1354,3930.3620097501553,sell,99.99920725822449
1355,3840.437998486552,sell,99.99947547912598
1356,3990.461736024263,sell,99.99907612800598
1357,3870.510631961515,sell,99.99455213546753
1358,3830.5289546373024,sell,99.9958872795105
1359,3920.5620611198683,sell,99.99943971633911
1360,3880.61175626122,sell,99.99957084655762
1361,3880.614589903271,sell,99.99986290931702
1362,3880.6463671748425,sell,99.99962449073792
1363,3810.6578373518496,sell,99.99399781227112
1364,3820.666058672883,sell,99.99963045120239
1365,3810.6890074144103,sell,99.99951720237732
1366,3810.70621166972,sell,99.99969601631165
1367,3941.048888342397,sell,99.9986469745636
1368,3851.082777254036,sell,99.99899864196777
1369,4001.0864768943866,sell,99.99933242797852
1370,3881.1264670994788,sell,99.9977171421051
1371,3841.138515282153,sell,99.9998390674591
1372,3931.1218306258233,sell,99.99978542327881
1373,3891.1626200350147,sell,99.99665021896362
1374,3891.148856630767,sell,99.99977350234985
1375,3891.1379268685705,sell,99.99980330467224
1376,3821.096772264631,sell,99.99964237213135
1377,3831.138997290276,sell,99.99492764472961
1378,3821.0880689354744,sell,99.9998152256012
1379,3821.127335118181,sell,99.99974370002747
1380,3951.4718334178906,sell,99.99994039535522
1381,3861.4478350704885,sell,99.99909996986389
1382,4011.412066125129,sell,99.9996542930603
1383,3891.430196805828,sell,99.9999463558197
