Day,Forecast,Signal,Confidence
1436,161.97883294823143,sell,71.21314
1437,162.15883087602555,sell,72.669395
1438,162.37362238391458,sell,73.74313
1439,162.58209364926554,sell,71.84115
1440,162.5062023696053,sell,70.566185
1441,162.7113684060779,sell,71.83286
1442,162.71494772710713,sell,72.12016
1443,163.01472392483876,sell,73.16703
1444,162.72749147377712,sell,72.84962
1445,162.59973228532849,sell,74.032425
1446,162.30645368387962,sell,72.43564
1447,162.28923424757687,sell,71.44142
1448,161.99294063246825,sell,68.66519
1449,162.17511517440178,sell,69.85743
1450,162.3071953449938,sell,73.13839
1451,162.83645116528845,sell,71.57905
1452,162.97920480669737,sell,70.354904
1453,163.5073642583885,sell,70.13465
1454,163.99486133334216,sell,71.892365
1455,164.54006286759136,sell,70.69558
1456,164.75951394204546,sell,69.45518
1457,164.93415901136345,sell,69.211945
1458,165.49011463176802,sell,71.65512
1459,165.74837393017415,sell,73.7555
1460,165.9897684997669,sell,71.98185
1461,166.0455704370739,sell,74.52347
1462,166.3255797538063,sell,69.3354
1463,166.6596980857373,sell,72.41788
1464,166.43684504399863,sell,71.28431
1465,166.32967501300192,sell,73.60779
