Day,Forecast,Signal,Confidence
1378,5289.29273589392,buy,72.5
1379,5258.8713290740025,buy,72.5
1380,5247.0217274349825,buy,72.5
1381,5222.881846369197,buy,72.5
1382,5187.050111374174,buy,72.5
1383,5127.381442619654,buy,72.5
1384,5088.152455336867,buy,72.5
1385,5054.815106002784,buy,72.5
1386,5027.893427729069,buy,72.5
1387,4983.157312540175,buy,72.5
1388,4971.950353559758,buy,72.5
1389,4957.961597371412,buy,72.5
1390,4969.956398606936,buy,72.5
1391,4961.420395167159,buy,72.5
1392,4970.855082529335,buy,72.5
1393,4980.289471126909,buy,72.5
1394,5014.1251598168965,buy,72.5
1395,5025.992089802824,buy,72.5
1396,5046.082814219584,buy,72.5
1397,5072.386049767447,buy,72.5
1398,5120.718394468945,buy,72.5
1399,5141.995214355094,buy,72.5
1400,5153.142121650536,buy,72.5
1401,5178.503053644128,buy,72.5
1402,5205.902157751618,buy,72.5
1403,5230.771621975148,buy,72.5
1404,5223.330889565794,buy,72.5
1405,5238.578639786384,buy,72.5
1406,5256.273272096217,buy,72.5
1407,5266.341639178941,buy,72.5
