Day,Actual,Predicted
0,4765.819126674107,4707.515900173802
1,4757.175397600447,4716.980079530442
2,4740.147251674107,4734.963531366938
3,4724.955357142857,4748.584284998814
4,4712.515101841518,4749.354623677257
5,4682.265171595982,4740.295416710699
6,4639.70964704241,4698.908030566403
7,4593.92822265625,4670.210826864019
8,4550.637730189732,4680.278052169448
9,4529.915771484375,4682.571073258562
10,4518.199672154018,4673.958511189112
11,4509.640066964285,4668.855394132891
12,4507.329241071428,4644.487481749328
13,4513.23615373884,4611.799188396717
14,4510.861328125,4566.533051865714
15,4508.097726004465,4531.8302285892305
16,4504.957275390625,4532.28115697234
17,4490.825299944197,4533.019423318413
18,4469.784388950893,4533.500895754968
19,4460.049037388393,4536.217788232701
20,4442.46257672991,4541.399062764653
21,4438.38005719866,4528.368719874115
22,4445.91716657366,4500.200817281123
23,4433.04132952009,4474.436553036341
24,4437.751988002232,4467.883788082021
25,4431.785086495535,4456.471548172221
26,4432.099086216518,4446.386048094858
27,4465.701729910715,4440.256745553108
28,4496.792027064732,4441.3388746573155
29,4528.510532924107,4438.774896172307
30,4578.129429408482,4416.893515124847
31,4633.71515764509,4415.515954636889
32,4697.46599469866,4439.030054177623
33,4754.936000279018,4455.57668704897
34,4817.116629464285,4497.68490424456
35,4863.281040736607,4549.993307012058
36,4912.900006975447,4593.770749194681
37,4960.32062639509,4653.9103760499365
38,4978.53515625,4692.230441816502
39,5002.716552734375,4734.045530809257
40,5014.02214704241,4776.0007479119
41,5003.972760881697,4791.94569091294
42,4998.634033203125,4816.425512058916
43,4998.634033203125,4843.428091209034
44,4982.617710658482,4853.759256742335
45,4974.452532087053,4860.8784535264085
46,4967.85759626116,4869.167321814523
47,4975.394601004465,4893.799734077395
48,4987.956403459822,4901.851137955636
49,5011.195661272322,4888.666266693226
50,5022.187151227678,4900.660199696976
51,5039.145542689732,4894.916970546768
52,5077.77294921875,4899.206397463207
53,5110.747523716518,4904.333493431013
54,5152.20134626116,4910.089465413947
55,5187.060163225447,4926.840263434646
56,5218.150530133928,4951.3039192641045
57,5244.844168526785,4960.762889557366
58,5278.446916852678,4998.00321550086
59,5306.396833147322,5044.021114587598
60,5334.346749441965,5081.891091448211
61,5359.470284598215,5127.415377967215
62,5378.940952845982,5156.067120752844
63,5399.667829241072,5190.686900366048
64,5410.03125,5212.6065529618
65,5416.940185546875,5247.967483278484
66,5415.997977120535,5264.217608513317
67,5418.1962890625,5292.852303455162
68,5420.708635602678,5310.368790742363
69,5417.882219587053,5324.0527849866585
70,5418.510288783482,5336.292275821069
71,5421.964773995535,5337.363362571917
72,5426.989467075893,5344.795619760016
73,5430.75798688616,5356.01904188488
74,5429.501813616072,5362.9359031492995
75,5427.931535993303,5373.1267253221595
76,5432.95622907366,5388.150352907005
77,5439.237060546875,5392.262671668581
78,5458.393694196428,5409.2839965840685
79,5474.72394670759,5403.635477677104
80,5483.831298828125,5395.428662899725
81,5495.13689313616,5402.773442263157
82,5502.98796735491,5400.940540755758
83,5516.177839006697,5410.8536036152545
84,5540.673270089285,5425.650959818973
85,5558.887765066965,5432.959232688647
86,5559.829938616072,5446.776682275692
87,5581.184919084822,5445.809862892632
88,5600.969621930803,5444.529724804882
89,5621.382463727678,5451.884147393081
90,5628.919573102678,5459.297720833195
91,5627.977434430803,5468.526631335599
92,5623.58088030134,5483.103743173669
93,5616.357875279018,5483.228846794969
94,5583.697335379465,5511.049205845374
95,5557.945696149553,5512.851713974715
96,5538.160923549107,5508.3333465702935
97,5508.012730189732,5493.310149486553
98,5454.625279017857,5482.142692505424
99,5408.146868024553,5460.803355400082
100,5367.635184151785,5447.620722743422
101,5310.165248325893,5431.623473858047
102,5248.298688616072,5429.276381830063
103,5185.80402483259,5403.432108954797
104,5127.07781110491,5376.652873778287
105,5084.681884765625,5326.028957262018
106,5033.178676060268,5285.87121142578
107,4986.700230189732,5255.924951815472
108,4962.20476422991,5194.951788719465
109,4941.16388811384,5156.225631259943
110,4906.933140345982,5126.344635617252
111,4885.578159877232,5075.533451120026
112,4882.437709263393,5050.064575208883
113,4882.437709263393,5000.017013572853
114,4891.859026227678,4958.03136004204
115,4902.536516462053,4943.002738644369
