Day,Forecast,Signal,Confidence
1377,8227.434122775847,sell,100
1378,8222.558095052855,sell,100
1379,8208.810300544703,sell,100
1380,8232.061493060219,sell,100
1381,8219.518412846106,sell,100
1382,8202.142699420452,sell,100
1383,8195.716867717132,sell,100
1384,8147.078508400325,sell,100
1385,8123.494969031249,sell,100
1386,8096.730198691889,sell,100
1387,8059.5710652569205,sell,100
1388,8045.653825513586,sell,100
1389,8030.75297684407,sell,100
1390,8021.115262491744,sell,100
1391,8035.819113855317,sell,100
1392,8059.540413578198,sell,100
1393,8089.463340028579,sell,100
1394,8142.640214201553,sell,100
1395,8200.911121857418,sell,100
1396,8254.558447638643,sell,100
1397,8292.424636089525,sell,100
1398,8354.177436687858,sell,100
1399,8409.14657306386,sell,100
1400,8470.038715851784,sell,100
1401,8544.908712938719,sell,100
1402,8593.48404689366,sell,100
1403,8609.639892386354,sell,100
1404,8591.411442370636,sell,100
1405,8577.874421203807,sell,100
1406,8574.2933408066,sell,100
