Date,"('Close', 'ETH-USD')","('High', 'ETH-USD')","('Low', 'ETH-USD')","('Open', 'ETH-USD')","('Volume', 'ETH-USD')",SMA_14,SMA_50,SMA_200,EMA_9,EMA_21,EMA_55,RSI,MACD,Signal_Line,MACD_Histogram,ADX,Volume_Ratio,Momentum,ROC
2020-06-28,225.34716796875,228.59828186035156,219.47267150878906,222.91448974609375,6205925718,231.897348577326,231.897348577326,231.897348577326,230.34089673970632,231.59307005707223,231.9733850672306,42.675472272600906,-0.7992552407420987,0.12288908705614088,-0.9221443277982396,35.97318598677449,0.8824946693516739,-0.02909937044169797,-2.909937044169797
2020-06-29,228.1948699951172,229.90321350097656,222.25498962402344,225.36143493652344,6726164653,231.58880869547525,231.58880869547525,231.58880869547525,229.91169139078852,231.28414277871266,231.83843810036942,46.01016087902607,-0.9584033439132611,-0.0933693991377395,-0.8650339447755215,35.97318598677449,0.9599556011564825,0.004651701780261419,0.4651701780261419
2020-06-30,226.31500244140625,229.476806640625,224.815185546875,227.9684295654297,6094093001,231.1831312913161,231.1831312913161,231.1831312913161,229.19235360091207,230.83240274804845,231.64117254112074,44.30864511047354,-1.2221309977603596,-0.31912171886226354,-0.9030092788980961,35.97318598677449,0.8785491992400396,-0.012907070397567666,-1.2907070397567666
2020-07-01,231.11341857910156,232.75611877441406,224.8357391357422,226.13458251953125,6463737443,231.1781518118722,231.1781518118722,231.1781518118722,229.57656659654998,230.85794964178052,231.62232418533435,49.1122384186974,-1.0320481742886898,-0.46170700994754876,-0.570341164341141,35.97318598677449,0.9363976529715083,0.00927375797432095,0.9273757974320951
2020-07-02,229.39219665527344,232.39688110351562,225.4619598388672,231.28890991210938,6212210566,230.98465401785714,231.05908813476563,231.05908813476563,229.5396926082947,230.72469937027986,231.54267677354645,47.638318686701126,-1.0086671051015514,-0.5710990289783493,-0.43756807612320214,35.97318598677449,0.906001589966353,-0.05418223924960941,-5.418223924960941
2020-07-03,225.38706970214844,229.6293182373047,224.91397094726562,229.31895446777344,5109032700,230.85956682477678,230.70458698272705,230.70458698272705,228.70916802706546,230.23946030954065,231.32283366385366,48.44735638777128,-1.298351128579128,-0.7165494488985051,-0.5818016796806229,35.97318598677449,0.7571740243291487,-0.07682033237292263,-7.682033237292263
2020-07-04,229.07411193847656,230.05413818359375,225.13331604003906,225.28848266601562,5228310135,230.84527042933874,230.60867668600645,230.60867668600645,228.78215680934767,230.13351954853482,231.24252217366163,49.82729613715823,-1.2163924941769153,-0.8165180579541872,-0.3998744362227281,35.97318598677449,0.7852511984635405,-0.028410226420799267,-2.8410226420799267
2020-07-05,227.6645965576172,229.85671997070312,224.54449462890625,228.9761962890625,5292172429,230.750611441476,230.4451166788737,230.4451166788737,228.5586447590016,229.90907200390595,231.11473911594575,48.878276247044255,-1.250757839552307,-0.9033660142738111,-0.34739182527849577,35.97318598677449,0.8040065770018168,-0.022665880619012535,-2.2665880619012535
2020-07-06,241.51022338867188,242.13270568847656,227.02952575683594,227.6850128173828,8782917553,230.67754255022322,231.02749071623148,231.02749071623148,231.14896048493569,230.96372212979375,231.48600641140027,49.138530326903854,-0.15893415679016698,-0.7544796427770823,0.5955454859869154,35.97318598677449,1.3112600044716989,0.051562150679083985,5.1562150679083985
2020-07-07,239.07553100585938,242.68185424804688,234.21865844726562,240.97259521484375,6441497597,230.31564113071985,231.42989273071288,231.42989273071288,232.73427458912045,231.70115930034515,231.75706086120238,45.79177014689757,0.5040739989591145,-0.502768914429843,1.0068429133889576,35.97318598677449,0.9635393644933052,0.07228091527908131,7.2280915279081315
2020-07-08,246.67001342773438,248.30886840820312,238.39837646484375,239.15997314453125,9892586411,231.09403773716517,232.1556127639044,232.1556127639044,235.52142235684323,233.0619642210169,232.28966631000708,59.16935985419041,1.6236080577845087,-0.07749351998697263,1.7011015777714813,35.97318598677449,1.445400166518966,0.09462220293774148,9.462220293774148
2020-07-09,243.01596069335938,247.2916717529297,239.89865112304688,246.748291015625,8429099199,231.8134286063058,232.64926494251597,232.64926494251597,237.0203300241465,233.96687299122982,232.67274825226966,58.35809359022543,2.1907418395034597,0.3761535519111138,1.8145882875923458,35.97318598677449,1.2183734415975984,0.06494927207854984,6.494927207854984
2020-07-10,240.9849853515625,242.8837890625,236.73052978515625,242.86801147460938,7281370522,232.6217814854213,233.01168756899625,233.01168756899625,237.81326108962972,234.6048832058055,232.96961386295868,59.58992052825655,2.448096577521653,0.7905421570332218,1.6575544204884314,35.97318598677449,1.0447106527022558,0.06482108014007748,6.482108014007748
2020-07-11,239.4581756591797,241.52748107910156,238.33123779296875,241.04478454589844,5643067316,233.80023738316126,233.28029123942056,233.28029123942056,238.1422440035397,235.0460916106577,233.20134821282372,65.32654369952638,2.500032461448143,1.132440217916206,1.3675922435319368,35.97318598677449,0.8094037939986114,0.036106761482661565,3.6106761482661565
2020-07-12,242.13169860839844,243.31114196777344,237.7702178955078,239.4596405029297,6596394718,234.99913242885046,233.63434753417968,233.63434753417968,238.94013492451145,235.6902377013614,233.52028929837996,65.50990936216809,2.72550505635445,1.4510531856038549,1.2744518707505952,35.97318598677449,0.9632976969295224,0.0555358993848849,5.55358993848849
