# Stock Price Prediction Results
# Ticker: ADRO.JK
# Model: transformer
# Period: 2020-01-01 to 2025-05-03
# Lookback: 30 days
# Forecast Days: 10 days
# Generated: 2025-05-03 11:30:25.634037

## Historical Data
Date,Actual,Predicted,Error,Error_Percent
2020-02-27,478.56058611188615,503.5385226548721,24.977936542985958,5.219388572285429
2020-02-28,475.27286856515065,498.60617552553566,23.333306960385016,4.909454863440511
2020-03-02,470.0125165666853,492.76423405881513,22.751717492129842,4.840662044135549
2020-03-03,465.0151824951172,490.69653374034203,25.681351245224846,5.5226909167625955
2020-03-04,461.20142909458707,490.1555010797984,28.95407198521133,6.277966666767024
2020-03-05,457.3876735142299,487.92966310556943,30.54198959133953,6.677484191184556
2020-03-06,453.17939322335377,481.55025548713724,28.370862263783465,6.260404309646228
2020-03-09,444.76283264160156,474.5364803449557,29.77364770335413,6.694275132325705
2020-03-10,437.52984837123324,473.91819575725987,36.388347386026624,8.316769135062989
2020-03-11,427.40366908482144,472.3804921097372,44.976823024915745,10.523265539863617
2020-03-12,414.778817313058,472.23729341550376,57.45847610244573,13.852799059185905
2020-03-13,402.811514718192,466.9655896061771,64.15407488798513,15.926574227369716
2020-03-16,390.8442121233259,463.1978758420183,72.35366371869236,18.51214920789516
2020-03-17,377.0357883998326,470.4423973763645,93.40660897653191,24.773937077155562
2020-03-18,364.54244886125844,473.8667169033649,109.32426804210644,29.98944797337285
2020-03-19,351.1285509381975,464.48679867535816,113.35824773716064,32.28397332950374
2020-03-20,341.3968963623047,465.17136649323254,123.77447013092785,36.25530034097709
2020-03-23,331.79675728934154,472.7273182704887,140.93056098114715,42.47496634159369
2020-03-24,322.45962960379467,476.9442775622332,154.48464795843853,47.908213548546655
2020-03-26,316.9362553187779,474.7421938826773,157.80593856389942,49.791065526781246
2020-03-27,312.4649549211775,475.724800712187,163.25984579100952,52.24901007928826
2020-03-30,310.2293025425502,486.03429918556054,175.80499664301033,56.66937172026082
2020-03-31,309.17723301478793,496.00289324869607,186.82566023390814,60.426719785338236
2020-04-01,310.6238316127232,496.28942522240186,185.66559360967864,59.77184449941404
2020-04-02,316.14720371791293,487.112394242099,170.96519052418608,54.07771712468864
2020-04-03,323.2486812046596,504.8171497174329,181.56846851277334,56.169902329103785
2020-04-06,331.66524614606584,502.3013478459051,170.6361016998393,51.448291216104955
2020-04-07,342.5804770333427,487.1747072077288,144.5942301743861,42.20737603804347
2020-04-08,352.4436373029436,471.08726254875126,118.64362524580764,33.663148568582976
2020-04-09,362.8328334263393,479.5177492086473,116.684915782308,32.15941475869682
2020-04-13,370.5918557303293,466.0292128062437,95.4373570759144,25.752686034568946
2020-04-14,378.6138937813895,460.11526823668964,81.50137445530015,21.52625030246745
2020-04-15,383.7427411760603,442.51151898318113,58.76877780712084,15.314629177612993
2020-04-16,384.0057634626116,449.2818967207375,65.27613325812592,16.998737901620448
2020-04-17,385.1893419538225,433.1647760165734,47.97543406275088,12.455026356493088
2020-04-20,386.7674473353795,430.5856517901238,43.81820445474432,11.329341379846799
2020-04-21,385.1893397739956,419.50026941425426,34.31092964025868,8.907549118672426
2020-04-22,381.6386043003627,425.69717944868216,44.05857514831945,11.544580304995517
2020-04-23,378.0878688267299,411.7758169178437,33.68794809111381,8.91008436627527
2020-04-24,372.1699676513672,416.70062727379945,44.53065962243227,11.965140525295332
2020-04-27,365.5945281982422,406.61117566609477,41.01664746785258,11.219163391201375
2020-04-28,359.0190887451172,412.00481370190215,52.98572495678496,14.758470125359203
2020-04-29,354.28477478027344,402.52261069230013,48.237835912026696,13.615554307108932
2020-04-30,351.1285618373326,406.6874854965744,55.55892365924183,15.822957656455364
2020-05-04,347.1832951136998,404.1347399769573,56.95144486325751,16.40385515800994
2020-05-05,342.5804879324777,410.35526972081936,67.77478178834167,19.783608283522565
2020-05-06,340.0818176269531,394.89007991408647,54.808262287133346,16.116198939884026
2020-05-08,341.39690508161266,392.46471932312716,51.0678142415145,14.958487754687313
2020-05-11,341.26539611816406,395.2712926033874,54.00589648522333,15.825189749541336
2020-05-12,341.79143415178567,397.7700021495697,55.97856799778401,16.377990319360833
2020-05-13,343.63255746024,394.3102867047278,50.67772924448781,14.747650693823294
2020-05-14,345.2106628417969,392.2878070265389,47.07714418474205,13.637221920435454
2020-05-15,345.7366921561105,393.84529470418596,48.10860254807545,13.914809633902836
2020-05-18,349.55044991629467,397.7481320482417,48.19768213194703,13.788476640064037
2020-05-19,352.3121337890625,397.6436939028234,45.33156011376087,12.866874503079687
2020-05-20,354.6792907714844,393.2735093165443,38.5942185450599,10.881441220069906
2020-05-26,357.70399257114957,398.7415056968667,41.03751312571711,11.4724783558446
2020-05-27,359.80813380650113,402.9397576403984,43.131623833897265,11.987395442564603
2020-05-28,363.4903826032366,404.96445797502975,41.47407537179316,11.409951227530462
2020-05-29,368.61922345842635,397.1173983259438,28.498174867517434,7.731060415174337
2020-06-02,373.7480708530971,400.6390902733181,26.891019420221028,7.194958721483443
2020-06-03,377.4303174700056,401.5160476902589,24.08573022025331,6.381503844658003
