Day,Actual,Predicted
0,811.8532322474888,1364.1575241689382
1,821.627458844866,1392.4575383012289
2,819.8503287179129,1421.8850494904516
3,805.929460797991,1416.2184047991466
4,788.454328264509,1520.1484699603245
5,773.9410792759487,1564.6211550002372
6,762.9820992606027,1572.5805930362421
7,755.5773838588169,1522.9612727235233
8,753.2078726632254,1489.6609603406623
9,754.3926260811942,1474.3212224839588
10,744.3222133091518,1493.4368335066572
11,738.9908185686384,1458.100222559768
12,734.8441772460938,1511.1884322851936
13,729.8089686802456,1487.1772808802414
14,725.958513532366,1474.7688733748575
15,724.7737601143973,1423.5746751088138
16,724.4775695800781,1422.5516659256923
17,723.2928161621094,1380.9600922589889
18,722.9966256277902,1359.7852331392548
19,724.1813834054129,1337.1642834455438
20,726.2547040666852,1374.5601424894685
21,729.2165876116071,1384.2899345011208
22,730.9937177385601,1368.4987658304349
23,732.7708478655134,1351.2080476735898
24,734.2517874581473,1346.6205710226482
25,734.8441641671317,1342.9121964831459
26,735.436540876116,1329.3989714593315
27,736.0289175851004,1335.560786074586
28,743.4336373465402,1377.484182989127
29,749.3574131556919,1393.7994109959013
30,756.1697518484933,1395.3043603721799
31,763.8706577845982,1389.6163861149032
32,780.753413609096,1391.092176084537
33,804.7446943010602,1426.5189651964201
34,826.3664681570871,1437.8063555130152
35,847.6920558384487,1444.5961773491567
36,868.721457345145,1497.3744333817283
37,892.7127467564175,1528.1648768370892
38,920.8506731305804,1533.2270038295267
39,948.396222795759,1540.2128416770026
40,976.5341535295757,1581.0352009961966
41,1004.6720842633929,1631.613271799616
42,1026.2938581194196,1618.023908325118
43,1047.9156319754463,1610.8998332905853
44,1073.3878653390068,1665.5658909089013
45,1118.1123613630023,1695.7958257698679
46,1178.831045968192,1695.9796920284336
47,1265.3181501116069,1723.9851421547107
48,1362.4680437360491,1791.109556262015
49,1459.6179373604912,1816.1364269984276
50,1557.0640171595983,1775.3497069540217
51,1641.477791922433,1805.681969732751
52,1736.2581874302455,1908.7043133648567
53,1831.9271414620537,2046.203335442336
54,1924.6342075892858,2083.8559592614383
55,2009.6403634207588,2139.510196771606
56,2098.2007882254466,2231.0251045647506
57,2186.761204310826,2240.570490328825
58,2267.6207188197545,2245.9647105636063
59,2328.635585239955,2322.767347731922
60,2363.58585030692,2439.5102721684275
61,2365.9553571428573,2555.4656226310176
62,2358.8468366350453,2609.292807319284
63,2351.7383161272323,2635.8197675308675
64,2345.81454031808,2690.6116425889654
65,2348.776436941964,2706.9023010956967
66,2338.1136300223216,2716.1709424911514
67,2328.635585239955,2717.9064671755286
68,2317.9727783203125,2777.1618914063283
69,2315.603271484375,2765.4171303966195
70,2309.0871233258927,2771.2047326265993
71,2303.7557373046875,2740.497987468089
72,2300.7938406808034,2742.1940929545945
73,2297.239571707589,2691.2034705460524
74,2292.500558035714,2635.8270573825284
75,2287.761544363839,2587.3373940827896
76,2280.06063406808,2579.0153534252663
77,2270.5825892857138,2571.014066240836
78,2262.881678989955,2525.3882346659243
79,2255.1807686941966,2504.8910617561755
80,2248.072248186384,2480.739783202625
81,2238.594220842634,2442.855234102894
82,2230.893327985491,2373.1569623701744
83,2219.0457763671875,2328.811174748068
84,2207.198224748884,2331.9922500174102
85,2200.089686802455,2311.3741195689868
86,2203.051583426339,2259.8486380441177
87,2204.236345563616,2245.40231200767
88,2210.1601213727677,2218.6407265703983
89,2213.7143903459823,2167.9198286733204
90,2221.415300641741,2152.148909590582
91,2229.70858328683,2147.255529164376
92,2233.855224609375,2178.229298889291
93,2236.8171037946427,2193.9159796861663
94,2238.59423828125,2188.423211456706
95,2248.66463797433,2171.080654354715
96,2262.8816964285716,2190.673345669463
97,2281.8377685546875,2171.6584425974916
98,2301.38623046875,2196.221732767153
99,2315.010916573661,2211.2277574144773
100,2319.157557896205,2240.8118654171626
101,2325.0813337053573,2287.4555762795826
102,2327.450840541295,2296.57599069126
103,2329.8203473772323,2286.3113395632804
104,2335.151733398438,2296.1296897728907
105,2341.075509207589,2322.1574301429355
106,2347.5916748046875,2295.1312500898125
107,2355.8849574497763,2280.5005178057872
108,2365.9553745814733,2312.2048926638577
109,2367.14013671875,2335.7994425460975
110,2364.178240094866,2317.2691796123427
111,2362.401105608259,2309.6404848461516
112,2358.2544468470983,2297.35789478055
113,2354.700177873884,2338.2501826767902
114,2351.1459089006703,2297.9343330507963
115,2346.406895228795,2265.857635768993
116,2341.66788155692,2285.356908984675
117,2336.9288504464284,2264.882685607934
118,2328.6355678013388,2255.0041266234925
119,2319.74991280692,2228.072444647459
120,2304.9404645647323,2241.272746038854
121,2296.6471819196427,2235.1022915994085
122,2287.7615094866073,2212.0528606247226
123,2278.283464704241,2173.664231782345
124,2272.359688895089,2167.4262787164066
125,2269.9901820591517,2147.037373603552
126,2272.359706333705,2139.779381294058
127,2275.91397530692,2112.1916126685173
128,2283.0225132533483,2116.1343424392016
129,2293.0929303850444,2134.34007197678
130,2300.2014508928573,2129.3867527702487
131,2310.8642578125,2120.919455068514
132,2320.9346749441966,2134.4909989056177
133,2333.9669712611612,2178.123191048445
134,2351.738298688616,2198.793160442014
135,2364.17822265625,2194.0895861535055
136,2376.0257742745534,2235.5467025562357
137,2389.058088030134,2291.697459962882
138,2401.4980119977677,2283.45506768462
139,2407.42178780692,2310.279561841783
140,2411.568429129464,2347.1672912254717
141,2413.937935965402,2412.100429922321
142,2414.5303083147323,2405.2074701848987
143,2412.7531738281255,2418.2284952243294
144,2413.937935965402,2457.5332154254643
145,2414.5303083147323,2473.6329878164743
146,2417.492204938616,2471.115829037313
147,2415.122698102679,2443.8234344013035
148,2415.122698102679,2462.785148555599
149,2415.122698102679,2479.155455441591
150,2438.8178013392862,2472.679367221387
151,2507.5335693359375,2459.489595615725
152,2558.47802734375,2472.8964428041872
153,2594.613054547991,2470.167068343333
154,2620.085274832589,2442.8738637238057
155,2644.3727504185263,2479.576106881893
156,2689.985804966517,2510.6289849970567
157,2739.1531284877233,2545.2808898768053
158,2793.6518380301336,2596.946498550273
159,2847.558175223214,2573.044424925733
160,2903.8340192522323,2573.933516833893
161,2972.5497872488836,2558.4971209440523
162,3043.6350795200888,2590.853262539535
163,3112.3508649553573,2662.9720350182783
164,3169.8114711216517,2698.109930008773
165,3185.2132917131694,2756.317775556408
166,3216.609305245536,2818.478610665954
167,3259.852852957589,2839.5057827909222
168,3325.0143694196418,2803.4806858538086
169,3378.3283342633927,2916.0149359312486
170,3414.4633614676336,2986.2639964561477
171,3445.8593575613836,2980.976964040237
172,3473.108729771205,3012.3346659526414
173,3500.3581019810263,3072.6538685369637
174,3527.0150844029017,3165.9693696904246
175,3556.0415910993297,3209.535953168301
176,3649.341029575892,3252.3541118756275
177,3745.898559570312,3375.1735326635007
178,3824.6847446986603,3313.819981126806
179,3915.9108537946427,3286.370449688322
180,4028.4625592912944,3339.122246259308
181,4156.416085379465,3502.676818140947
182,4297.105712890624,3569.7526332371767
183,4435.722011021205,3633.9443670206315
184,4571.376447405133,3760.6044596559327
185,4696.960466657366,3849.948881615582
186,4839.13103376116,3843.7511577310333
187,4999.072910853794,3863.439427100895
188,5161.976702008929,4033.99252657179
189,5306.220598493303,4169.36021201914
190,5384.710588727678,4275.923263602541
191,5464.681535993304,4361.580100599647
192,5550.576276506697,4507.758366066048
193,5618.699672154018,4580.551044831694
194,5674.975516183035,4638.506985505258
195,5722.365687779018,4732.146480065883
196,5771.23681640625,4940.773664779701
197,5851.207798549108,5005.81804121301
198,5960.797607421875,5104.768867695083
199,6091.120640345982,5175.092176709124
200,6249.581612723215,5331.914705578899
201,6480.608851841518,5406.58438615005
202,6661.283935546875,5482.4242229100755
203,6871.577880859375,5580.907958896821
204,7070.024344308035,5774.85905224961
205,7244.775634765625,5894.910489362275
206,7419.526925223216,6048.24360923689
207,7612.04963030134,6231.336063548564
208,7837.153041294643,6408.156005497537
209,8068.180245535715,6606.00365956049
210,8293.582972935268,6685.411203722408
211,8518.461948939732,6851.569062630612
212,8748.260184151786,7069.109575970027
213,9022.744175502232,7189.8662387322875
214,9279.890345982143,7342.473613374854
215,9409.198939732141,7496.404501085687
216,9529.364467075893,7772.311886736754
217,9611.244419642857,7933.1303342948895
218,9755.276646205357,8103.662104199813
219,9909.327845982143,8393.38240877632
220,10031.23618861607,8612.453250975577
221,10093.692173549107,8859.4658245977
222,10128.967494419643,8904.92965946903
223,10144.642857142857,9092.504022579811
224,10173.214285714286,9257.076473748959
225,10198.214285714284,9370.419087377273
226,10180.357142857145,9480.864119967515
227,10091.07142857143,9577.373116137593
228,9991.07142857143,9710.340010437854
229,9935.714285714286,9780.729738100365
230,9933.92857142857,9893.704079222536
231,9946.42857142857,10000.300070135665
232,9896.42857142857,10116.117993394715
233,9866.07142857143,10183.89633419548
234,9917.857142857143,10209.313616987525
235,10001.785714285714,10223.883600507708
236,10098.214285714286,10293.926655224552
237,10214.285714285714,10309.720253845791
238,10307.142857142857,10341.339850428987
239,10380.357142857143,10354.283387045203
240,10439.285714285714,10443.866484148131
241,10514.285714285714,10502.537370273505
242,10558.928571428569,10634.605722857897
243,10578.57142857143,10716.127863990574
244,10569.642857142857,10828.956408079523
245,10567.857142857143,10890.07992429713
246,10608.92857142857,10940.211424187675
247,10633.92857142857,11028.206953595496
248,10592.857142857143,11128.381395178627
249,10555.357142857143,11205.48642619363
250,10487.5,11296.100902309365
251,10407.142857142857,11338.018089350267
252,10330.357142857143,11438.085613109035
253,10260.714285714286,11502.038671749211
254,10239.285714285714,11536.055819545423
255,10219.642857142857,11503.374604564753
256,10226.785714285714,11518.019106568583
257,10242.857142857143,11512.401060888353
258,10260.714285714286,11528.304817268028
259,10273.214285714286,11531.962702834913
260,10244.642857142857,11585.663530094385
261,10264.285714285716,11615.830556235462
262,10373.214285714288,11650.415772472235
263,10548.214285714286,11654.07905792924
264,10703.57142857143,11681.396022065293
265,10862.5,11640.369816894092
266,11008.92857142857,11601.224933440491
267,11133.92857142857,11635.858748688339
268,11232.142857142857,11765.55006964217
269,11360.714285714288,11914.292202937264
270,11457.142857142857,12129.179750261015
271,11601.785714285714,12261.488937944734
272,11794.642857142857,12289.812441599044
273,11994.642857142857,12266.57995434931
274,12200.0,12386.341957351575
275,12362.5,12511.250055637634
276,12528.57142857143,12634.167754425682
277,12642.857142857141,12810.903998077803
278,12780.357142857143,12948.645475221643
279,12923.214285714286,13087.048978894123
280,13114.285714285714,13105.630000795001
281,13255.357142857143,13266.473287847686
282,13398.214285714286,13453.132369583229
283,13489.285714285714,13553.448288287487
284,13589.285714285714,13673.199491509515
285,13669.642857142857,13850.146330876292
286,13721.42857142857,13972.337204454267
287,13758.92857142857,14071.415468343159
288,13778.57142857143,14119.65700669191
289,13883.92857142857,14218.658592141106
290,13900.0,14302.320169739092
291,13889.285714285712,14375.962791209533
292,13883.92857142857,14416.925277677325
293,13866.07142857143,14449.979085076235
294,13846.42857142857,14527.200753717818
295,13871.428571428572,14599.606800350914
296,13919.642857142859,14659.940852633064
297,14028.571428571431,14717.576039833535
298,14203.57142857143,14793.939125946132
299,14316.07142857143,14808.76938417007
300,14419.642857142859,14811.943439582257
301,14587.5,14806.895622298636
302,14810.714285714286,14858.636289444763
303,14983.92857142857,14932.097474607192
304,15210.714285714286,14976.149778201308
305,15516.07142857143,15052.254749566197
306,15828.57142857143,15104.218972163268
307,16117.857142857145,15182.565977905735
308,16321.42857142857,15220.950556830523
309,16521.428571428572,15291.005491305628
310,16696.428571428572,15399.46120437588
311,16783.928571428572,15503.554886207678
312,16848.214285714286,15600.582271829218
313,16910.714285714286,15693.643978147067
314,16976.785714285714,15795.295829666868
315,17035.714285714286,15858.877375866829
316,17026.785714285714,15922.468641869005
317,16950.0,15976.491302579594
318,16907.14285714286,16019.275711973674
319,16750.0,16065.577609791537
320,16580.35714285714,16123.396393256067
321,16475.0,16178.465552671798
322,16387.5,16220.714292966033
323,16353.57142857143,16267.98601104934
324,16269.642857142857,16310.924857300835
325,16212.5,16321.304526088357
326,16135.714285714284,16344.386896392773
327,16064.285714285714,16339.699791769128
328,15957.142857142857,16342.589812961034
329,15767.857142857143,16338.512895920881
330,15655.357142857143,16323.138328772908
331,15560.714285714286,16322.317545474758
332,15375.0,16303.133895836556
333,15230.357142857143,16269.459101073913
334,15087.5,16233.64702980201
335,14969.642857142857,16165.598694495277
336,14878.57142857143,16138.198572051384
337,14767.857142857143,16099.405761433569
338,14687.5,16062.606590247839
339,14635.714285714286,16014.784083372353
340,14644.642857142857,15980.696737004588
341,14716.07142857143,15953.340893659675
342,14801.785714285714,15918.823716038407
343,14962.5,15874.585656224182
344,15107.142857142857,15826.66703130457
345,15216.07142857143,15819.54349625905
346,15337.5,15820.318920480197
347,15417.857142857143,15810.133647736971
348,15485.714285714288,15857.094332149401
349,15505.357142857143,15894.789885094953
350,15516.07142857143,15925.070308928536
351,15483.92857142857,15921.974011934068
352,15421.42857142857,15915.608621461311
353,15335.714285714286,15954.859342761252
354,15141.07142857143,15969.078333423673
355,14908.92857142857,15989.673514339089
356,14669.642857142857,16003.45295394579
357,14412.5,15987.974708907524
358,14096.42857142857,15976.388704667326
359,13841.07142857143,15950.06964022534
360,13642.857142857145,15897.78898406727
361,13523.214285714286,15833.6372094707
362,13442.857142857143,15757.811952413997
363,13417.857142857143,15675.34699046647
364,13405.357142857143,15581.880292389666
365,13435.714285714286,15499.573007233626
366,13532.142857142857,15424.227260419526
367,13619.642857142857,15355.738294079049
368,13742.857142857143,15313.001403718019
369,13926.785714285714,15258.693628809126
370,14116.07142857143,15204.916123109957
371,14301.785714285714,15167.72815983563
372,14526.785714285714,15159.716882854478
373,14728.57142857143,15143.816366408875
374,14875.0,15152.139757038927
375,15060.714285714286,15195.318358411725
376,15267.857142857143,15221.82317907382
377,15387.5,15275.182733277745
378,15485.714285714288,15311.200000374185
379,15526.785714285714,15365.27773996399
380,15558.92857142857,15431.192038695537
381,15630.357142857143,15481.12806256376
382,15698.214285714286,15556.426290344809
383,15694.642857142857,15607.269495753091
384,15730.357142857143,15682.968395381
385,15744.642857142857,15693.181747552846
386,15694.642857142857,15712.756349235693
387,15694.642857142857,15736.942457080515
388,15696.42857142857,15758.28606276648
389,15605.357142857143,15785.67214549606
390,15508.92857142857,15784.744444373548
391,15466.07142857143,15801.247588556476
392,15414.285714285714,15799.765858707711
393,15410.714285714286,15806.65503852205
394,15383.92857142857,15817.733453091025
395,15353.57142857143,15818.353360476733
396,15303.57142857143,15832.194358830795
397,15312.5,15812.221245257135
398,15328.57142857143,15778.812125088367
399,15360.714285714286,15764.230261809922
400,15437.500000000002,15754.29554396824
401,15448.214285714286,15731.686204038284
402,15478.57142857143,15705.23970218948
403,15580.357142857143,15713.859006798077
404,15617.857142857141,15709.991605494557
405,15614.285714285714,15716.615110715022
406,15630.357142857143,15711.486295079609
407,15703.57142857143,15717.773927134645
408,15875.0,15739.964235591335
409,16007.142857142857,15761.653434244941
410,16130.357142857143,15778.31209526331
411,16241.07142857143,15794.775280259357
412,16341.07142857143,15826.468315348176
413,16344.642857142857,15860.900174705559
414,16455.35714285714,15886.55829259693
415,16601.785714285714,15924.816514092923
