# Stock Price Prediction Results
# Ticker: BMRI.JK
# Model: patchtst
# Period: 2020-01-01 to 2025-05-23
# Lookback: 60 days
# Forecast Days: 20 days
# Generated: 2025-05-23 08:42:34.618577

## Historical Data
Date,Actual,Predicted,Error,Error_Percent
2020-04-13,1770.8228759765625,1851.9795659353456,81.15668995878309,4.582993085292468
2020-04-14,1782.2090541294642,1778.5321540287339,-3.676900100730336,-0.20631138037430466
2020-04-15,1796.848440987723,1786.5117484241214,-10.336692563601673,-0.5752679150791159
2020-04-16,1789.7998570033483,1767.1557894258083,-22.64406757754,-1.265173169443249
2020-04-17,1774.6182774135045,1795.106848828244,20.488571414739454,1.1545340017911583
2020-04-20,1768.3829868861608,1731.3835936589555,-36.999393227205246,-2.0922726299439947
2020-04-21,1759.4367065429688,1716.3097733999657,-43.12693314300304,-2.451178435838198
2020-04-22,1756.1834978376119,1718.2018590638345,-37.98163877377738,-2.1627374827598684
2020-04-23,1749.405997140067,1771.5143568283022,22.10835968823517,1.2637637989339219
2020-04-24,1729.2090715680804,1695.3808927015832,-33.82817886649718,-1.95628044189134
2020-04-27,1700.743617466518,1683.0638764211792,-17.679741045338687,-1.0395300540169008
2020-04-28,1674.3114100864955,1651.03767575051,-23.27373433598541,-1.3900481234123037
2020-04-29,1653.4367501395088,1712.3128514963832,58.876101356874415,3.5608317857884035
2020-04-30,1647.743643624442,1642.3279704516628,-5.415673172779179,-0.32867207188046865
2020-05-04,1642.8638567243304,1639.1875753560269,-3.6762813683035347,-0.22377273401300518
2020-05-05,1633.3753662109375,1622.381765765493,-10.9936004454446,-0.6730602574806349
2020-05-06,1626.8689662388394,1671.3543270428656,44.485360804026186,2.7344157229129493
2020-05-08,1626.597856794085,1615.160590596963,-11.437266197121971,-0.7031403705193645
2020-05-11,1622.5313546316963,1587.6122866274175,-34.91906800427887,-2.152135174743989
2020-05-12,1612.7717546735491,1591.249925234041,-21.52182943950811,-1.3344622000690032
2020-05-13,1603.5543561662946,1631.8894762239167,28.335120057622134,1.7670196179295388
2020-05-14,1588.9149867466517,1579.4829972083023,-9.431989538349399,-0.5936119689865638
2020-05-15,1568.8536202566963,1535.9470437244581,-32.906576532238205,-2.0974918314465834
2020-05-18,1553.6720493861606,1522.7852735458382,-30.886775840322343,-1.9879855502662473
2020-05-19,1545.8101545061384,1554.7329500516046,8.922795545466215,0.5772245394724363
2020-05-20,1543.641357421875,1518.96913629168,-24.672221130195112,-1.598313041534571
2020-05-26,1546.3523559570312,1487.1803750172621,-59.17198093976913,-3.8265522545246697
2020-05-27,1536.8638828822548,1467.7425009512435,-69.12138193101123,-4.497560434654765
2020-05-28,1536.8638828822548,1519.7386045276698,-17.125278354584907,-1.1143002672733733
2020-05-29,1543.6413748604912,1490.6805487102665,-52.96082615022465,-3.4309022168449625
2020-06-02,1556.1119646344869,1478.2581858427902,-77.85377879169664,-5.003096214222838
2020-06-03,1574.0045427594866,1484.37255509651,-89.6319876629766,-5.694518994579082
2020-06-04,1587.559535435268,1563.7228048820043,-23.83673055326358,-1.5014700249794515
2020-06-05,1610.3319004603798,1535.221009524368,-75.11089093601186,-4.664311184206083
2020-06-08,1643.9482770647319,1529.8972159240839,-114.05106114064802,-6.93763074737887
2020-06-09,1679.8689662388392,1543.646793388545,-136.22217285029433,-8.109095148968102
2020-06-10,1711.045418875558,1617.5962494101123,-93.44916946544572,-5.461524775120078
2020-06-11,1737.342084612165,1580.5883172218844,-156.7537673902807,-9.022619596835103
2020-06-12,1765.2653547014509,1581.9090167134843,-183.35633798796653,-10.386899482258096
2020-06-15,1782.8868321010045,1577.9421938347796,-204.94463826622496,-11.495100786891358
2020-06-16,1807.9635358537946,1661.140089600475,-146.82344625331962,-8.120929617310205
2020-06-17,1829.3803972516741,1619.6259904877575,-209.75440676391668,-11.465871563893227
2020-06-18,1843.7486659458702,1657.8227960586269,-185.92586988724338,-10.084122273350129
2020-06-19,1854.863760811942,1653.7799636170978,-201.08379719484424,-10.840893085690697
2020-06-22,1860.0146309988836,1734.5671941903022,-125.44743680858141,-6.7444327973491465
2020-06-23,1858.116934640067,1782.0591882439394,-76.05774639612764,-4.093270180052509
2020-06-24,1869.5031127929688,1767.3597769944104,-102.14333579855838,-5.463662247984172
2020-06-25,1874.247358049665,1860.1735111079008,-14.073846941764259,-0.7509065909213527
2020-06-26,1867.4698399135045,1847.1996121845625,-20.270227728942018,-1.0854380239886965
2020-06-29,1858.3880179268974,1878.0678766981607,19.679858771263298,1.0589746910452495
2020-06-30,1859.472429547991,1900.5125290493766,41.04009950138561,2.2070829795181113
2020-07-01,1867.60542515346,1948.6302018201568,81.02477666669688,4.338431211187937
2020-07-02,1870.5875069754466,1920.0013047574669,49.41379778202031,2.6416191489441463
2020-07-03,1878.1782836914062,1946.026750468322,67.84846677691576,3.6124614668403643
2020-07-06,1879.5337873186384,1948.537847343823,69.00406002518457,3.671339163507481
2020-07-07,1883.6002894810267,1971.9253992743752,88.32510979334847,4.689164165380543
2020-07-08,1895.9353201729912,1946.4362496067859,50.50092943379468,2.6636419975121735
2020-07-09,1905.9660208565851,1961.918426003295,55.95240514670991,2.9356454697740944
2020-07-10,1915.8611711774554,1962.757769697039,46.89659851958368,2.447807765254819
2020-07-13,1928.331778390067,1980.063185000513,51.7314066104459,2.68270259247792
2020-07-14,1932.3982718331474,1965.538005194992,33.13973336184449,1.7149535809927456
2020-07-15,1939.1757550920759,1974.2688560113165,35.09310091924067,1.8096916087719124
2020-07-16,1946.6309901646205,1983.7889870800063,37.157996915385866,1.908836194590919
2020-07-17,1953.0018223353795,2002.8815986606544,49.87977632527486,2.5540056212353726
2020-07-20,1957.0682983398438,1985.3285331524899,28.260234812646104,1.4440086141407995
2020-07-21,1965.4723772321431,1992.6387861946455,27.166408962502373,1.3821821805890346
2020-07-22,1976.994131905692,2015.1810508265412,38.186918920849166,1.9315646063167367
2020-07-23,1995.9711042131696,2050.943873985647,54.97276977247725,2.754186654127342
2020-07-24,2010.2038312639509,2049.5797404581476,39.375909194196765,1.9588018180941618
2020-07-27,2032.5695364815851,2059.7878056954364,27.218269213851272,1.3391064229451453
2020-07-28,2048.15780203683,2067.6439559887936,19.486153951963388,0.951399053949115
2020-07-29,2060.357256208147,2106.809721560539,46.452465352391755,2.2545830443930983
2020-07-30,2077.3009730747767,2093.6623912938544,16.361418219077677,0.7876286792885797
2020-08-03,2084.0784650530136,2105.3578817605476,21.279416707533983,1.0210468110658535
2020-08-04,2091.533700125558,2107.031920944194,15.498220818636128,0.7409979010955332
2020-08-05,2103.055437360491,2135.1706992017853,32.11526184129434,1.527076332405277
2020-08-06,2116.610430036272,2128.513785499635,11.903355463362914,0.5623781917751831
2020-08-07,2133.5541469029017,2147.302892229427,13.748745326525295,0.6444057370881904
2020-08-10,2152.5311104910716,2146.031951378954,-6.499159112117468,-0.30193101881044454
2020-08-11,2170.830322265625,2187.5193804696282,16.68905820400323,0.7687868569380127
2020-08-12,2190.485037667411,2187.6768097997483,-2.808227867662481,-0.128201189205697
2020-08-13,2199.9735281808034,2187.9312418100444,-12.04228637075903,-0.5473832396845705
